date,product_name,category,region,store,quantity,price,discount,revenue,profit,promotion,holiday
2023-01-01,Laptop,Electronics,East,Store D,26,53365.36,0,1387499.38,514548.66,1,1
2023-01-01,Smartphone,Electronics,West,Store E,19,26455.44,20,402122.67,98967.67,0,1
2023-01-01,Headphones,Electronics,West,Store D,14,2469.65,5,32846.34,7991.66,0,1
2023-01-01,Office Chair,Furniture,North,Store D,12,7497.9,10,80977.32,11048.98,1,1
2023-01-01,Study Table,Furniture,South,Store C,17,12869.83,0,218787.19,75703.25,1,1
2023-01-01,T-Shirt,Fashion,North,Store A,16,822.41,10,11842.71,2255.03,0,1
2023-01-01,Jeans,Fashion,East,Store A,22,1836.91,5,38391.4,13327.69,0,1
2023-01-01,Shoes,Fashion,East,Store B,19,2479.74,0,47115.06,15304.6,1,1
2023-01-01,Coffee Maker,Home Appliances,North,Store E,22,4448.32,0,97863.04,35517.98,0,1
2023-01-01,Mixer Grinder,Home Appliances,South,Store A,13,3646.62,15,40295.15,7024.58,1,1
2023-01-02,Laptop,Electronics,South,Store C,6,57466.68,0,344800.11,108929.19,0,0
2023-01-02,Smartphone,Electronics,East,Store C,8,23852.14,0,190817.16,47906.38,0,0
2023-01-02,Headphones,Electronics,West,Store E,7,2637.64,20,14770.78,2275.56,0,0
2023-01-02,Office Chair,Furniture,North,Store D,8,7964.21,15,54156.64,18081.56,1,0
2023-01-02,Study Table,Furniture,West,Store C,5,11967.26,10,53852.68,7357.43,0,0
2023-01-02,T-Shirt,Fashion,West,Store D,11,762.88,0,8391.7,2153.95,0,0
2023-01-02,Jeans,Fashion,North,Store D,8,1939.56,5,14740.69,5478.43,0,0
2023-01-02,Shoes,Fashion,West,Store C,8,2693.53,5,20470.86,7040.47,0,0
2023-01-02,Coffee Maker,Home Appliances,East,Store A,8,4507.58,20,28848.51,3893.48,0,0
2023-01-02,Mixer Grinder,Home Appliances,West,Store A,8,3764.27,20,24091.3,4477.5,0,0
2023-01-03,Laptop,Electronics,West,Store C,17,53507.87,20,727706.97,163664.89,0,0
2023-01-03,Smartphone,Electronics,North,Store E,13,25924.0,10,303310.84,57757.03,0,0
2023-01-03,Headphones,Electronics,West,Store E,13,2437.05,0,31681.6,10611.02,0,0
2023-01-03,Office Chair,Furniture,East,Store B,7,7847.25,15,46691.13,8604.34,0,0
2023-01-03,Study Table,Furniture,East,Store E,4,11703.07,10,42131.04,12718.11,0,0
2023-01-03,T-Shirt,Fashion,North,Store D,14,775.15,0,10852.16,2163.64,1,0
2023-01-03,Jeans,Fashion,North,Store B,11,1834.66,0,20181.23,7144.29,1,0
2023-01-03,Shoes,Fashion,West,Store E,15,2601.3,5,37068.53,13644.02,0,0
2023-01-03,Coffee Maker,Home Appliances,West,Store E,7,4677.77,5,31107.19,11877.23,1,0
2023-01-03,Mixer Grinder,Home Appliances,North,Store A,6,3657.17,5,20845.86,8065.49,0,0
2023-01-04,Laptop,Electronics,North,Store C,4,57281.15,15,194755.92,43978.64,1,0
